level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1770,1790,P404,lab,breathing,5,0.958531574716859,2019-10-08 14:39:00,0.03690554521392059,1.0,1.439008,0.668876,0,1.3143565523325769,1.3143565523325769
1771,1791,P404,lab,reading,1,0.958531574716859,2019-10-08 14:42:00,1.5157741024661482,1.3,1.439008,0.668876,0,1.8896482520521516,1.5
1772,1792,P404,lab,reading,2,0.958531574716859,2019-10-08 14:43:00,0.9896980629193294,1.3,1.439008,0.668876,0,1.6850004640601226,1.5
1773,1793,P404,lab,reading,3,0.958531574716859,2019-10-08 14:44:00,1.271478521922749,1.3,1.439008,0.668876,0,1.7946153168561247,1.5
1774,1794,P404,lab,reading,4,0.958531574716859,2019-10-08 14:45:00,0.6090776004923382,1.3,1.439008,0.668876,0,1.5369360592123236,1.5
1775,1795,P404,lab,reading,5,0.958531574716859,2019-10-08 14:46:00,0.15144805447641088,1.3,1.439008,0.668876,0,1.3589145047757596,1.3589145047757596
1776,1796,P404,lab,breathing,1,0.958531574716859,2019-10-08 14:48:00,0.1126945014657081,1.0,1.439008,0.668876,0,1.3438390626261725,1.3438390626261725
1777,1797,P404,lab,breathing,2,0.958531574716859,2019-10-08 14:49:00,0.05357304993661917,1.0,1.439008,0.668876,0,1.3208403450097443,1.3208403450097443
1778,1798,P404,lab,breathing,3,0.958531574716859,2019-10-08 14:50:00,0.06622314673241325,1.0,1.439008,0.668876,0,1.3257613338640826,1.3257613338640826
1779,1799,P404,lab,breathing,4,0.958531574716859,2019-10-08 14:51:00,0.7031194728519612,1.0,1.439008,0.668876,0,1.5735190998951958,1.5
1780,1800,P404,lab,breathing,5,0.958531574716859,2019-10-08 14:52:00,0.06387708410009038,1.0,1.439008,0.668876,0,1.324848696731608,1.324848696731608
1781,1801,P404,lab,aerobics,1,2.0539962315361264,2019-10-08 14:58:00,9.801887976476758,7.3,4.521223,4.704081097437552,1,5.1130128379532715,5.1130128379532715
1782,1802,P404,lab,aerobics,2,2.0539962315361264,2019-10-08 14:59:00,7.480190134420464,7.3,4.026733,4.879807542052187,1,4.209853803810637,4.209853803810637
1783,1803,P404,lab,aerobics,3,2.0539962315361264,2019-10-08 15:00:00,11.266983290575778,7.3,4.4067430000000005,6.175349329812288,1,5.682946635900303,5.682946635900303
1784,1804,P404,lab,aerobics,4,2.0539962315361264,2019-10-08 15:01:00,10.451236726151887,7.3,5.224798000000002,7.414903226095668,1,5.365614696366894,5.365614696366894
1785,1805,P404,lab,aerobics,5,2.0539962315361264,2019-10-08 15:02:00,17.861377703507863,7.3,6.984133000000001,8.255306868197971,1,8.248218817686187,8.248218817686187
1786,1806,P404,lab,breathing,1,1.0954646568192674,2019-10-08 15:05:00,2.269497456833578,1.0,1.439008,0.668876,0,2.1828526666879164,1.5
1787,1807,P404,lab,breathing,2,1.0954646568192674,2019-10-08 15:06:00,0.11044059466354436,1.0,1.439008,0.668876,0,1.342962274848876,1.342962274848876
